Sl no,Comment,Comment_Tokens
1237,No Comment,"['No', 'Comment']"
1238,no comment,['comment']
1239,no comment,['comment']
1240,what a joke he is,['joke']
1241,kristenshermn if you cant afford it then its your choice to stay where you are bidenomics increased my finances immensely and made my life way more comfortable than  years ago and yes youre not affected with all this trump nonsense policy he only take porn stars,"['kristenshermn', 'cant', 'afford', 'choice', 'stay', 'bidenomics', 'increased', 'finances', 'immensely', 'made', 'life', 'way', 'comfortable', 'years', 'ago', 'yes', 'youre', 'affected', 'trump', 'nonsense', 'policy', 'take', 'porn', 'stars']"
1242,someone needs to shove that ice cream  up his a,"['someone', 'needs', 'shove', 'ice', 'cream']"
1243,No Comment,"['No', 'Comment']"
1244,worst president in history even worse than carter,"['worst', 'president', 'history', 'even', 'worse', 'carter']"
1245,this should run on every channel that conservatives own,"['run', 'every', 'channel', 'conservatives']"
1246, tramp king ,"['tramp', 'king']"
1247,No Comment,"['No', 'Comment']"
1248,pretty much,"['pretty', 'much']"
1249,No Comment,"['No', 'Comment']"
1250,trump for  ,['trump']
1251,fr,['fr']
1252,jaque ,['jaque']
1253,ice cream is code for little kids and hes always walking around licking it just gross remember the codes pizza ice cream hotdogs all have p e d o  meaning,"['ice', 'cream', 'code', 'little', 'kids', 'hes', 'always', 'walking', 'around', 'licking', 'gross', 'remember', 'codes', 'pizza', 'ice', 'cream', 'hotdogs', 'p', 'e', 'meaning']"
1254,you both should be ashamed of each other,['ashamed']
1255,i am,[]
1256,kinda cute ruining everything is it,"['kinda', 'cute', 'ruining', 'everything']"
1257,get a room,"['get', 'room']"
1258,im voting for me,"['im', 'voting']"
1259,markrveroneau you are the one being manipulated by believing all of the lies that biden tells you if his mouth is moving he is lying,"['markrveroneau', 'one', 'manipulated', 'believing', 'lies', 'biden', 'tells', 'mouth', 'moving', 'lying']"
1260,No Comment,"['No', 'Comment']"
1261,No Comment,"['No', 'Comment']"
1262,freepalestine,['freepalestine']
1263,freepalestine,['freepalestine']
1264,disgusting man,"['disgusting', 'man']"
1265,lisadmccusker,['lisadmccusker']
1266,No Comment,"['No', 'Comment']"
1267,enjoy hell biden,"['enjoy', 'hell', 'biden']"
1268,is this an invasion or a mass escape by the american army ,"['invasion', 'mass', 'escape', 'american', 'army']"
1269,sleepy joe needs to go you are the reason i will switch my green card to maybe consider becoming a law abiding citizen of the union,"['sleepy', 'joe', 'needs', 'go', 'reason', 'switch', 'green', 'card', 'maybe', 'consider', 'becoming', 'law', 'abiding', 'citizen', 'union']"
1270,jgeightzerofive fu its the truth and if youd open your mind to the truth youre going to be embarrassed for following the orange jesus,"['jgeightzerofive', 'fu', 'truth', 'youd', 'open', 'mind', 'truth', 'youre', 'going', 'embarrassed', 'following', 'orange', 'jesus']"
1271,mottracingm bullshit trump had the white house the senate the house and scotus for  years and he couldnt get border legislation done all he did was tear children from their parents arms and put them in cages to scare people from wanting to come to america immigration is complicated and the only way to fix it is through thoughtful legislation,"['mottracingm', 'bullshit', 'trump', 'white', 'house', 'senate', 'house', 'scotus', 'years', 'couldnt', 'get', 'border', 'legislation', 'done', 'tear', 'children', 'parents', 'arms', 'put', 'cages', 'scare', 'people', 'wanting', 'come', 'america', 'immigration', 'complicated', 'way', 'fix', 'thoughtful', 'legislation']"
1272,cathyflesburg you are the clueless one you must not have read or dont have the capability to understand my point but my point was that the border is fucked and needs fixing the republicans in the senate wrote the strictest most conservative border bill that biden didnt want to sign but he made a deal and agreed to sign but trump ordered moses johnson to kill the bill because trump didnt want biden to be able to get any credit for fixing the border trumps desperate he needs something to run on you have been conned by the best conman america has ever had the displeasure of knowing i hope you have friends who care about you because when trump loses by a landslide hes not going to be able to scream voter fraud,"['cathyflesburg', 'clueless', 'one', 'must', 'read', 'dont', 'capability', 'understand', 'point', 'point', 'border', 'fucked', 'needs', 'fixing', 'republicans', 'senate', 'wrote', 'strictest', 'conservative', 'border', 'bill', 'biden', 'didnt', 'want', 'sign', 'made', 'deal', 'agreed', 'sign', 'trump', 'ordered', 'moses', 'johnson', 'kill', 'bill', 'trump', 'didnt', 'want', 'biden', 'able', 'get', 'credit', 'fixing', 'border', 'trumps', 'desperate', 'needs', 'something', 'run', 'conned', 'best', 'conman', 'america', 'ever', 'displeasure', 'knowing', 'hope', 'friends', 'care', 'trump', 'loses', 'landslide', 'hes', 'going', 'able', 'scream', 'voter', 'fraud']"
1273,grahamelgin but he never would and you know that trump cares for trump full stop if he were to do an act of kindness such as that his image would change drastically for the better but dont hold your breath,"['grahamelgin', 'never', 'would', 'know', 'trump', 'cares', 'trump', 'full', 'stop', 'act', 'kindness', 'image', 'would', 'change', 'drastically', 'better', 'dont', 'hold', 'breath']"
1274,insanity,['insanity']
1275,trump ,['trump']
1276,No Comment,"['No', 'Comment']"
1277,gotta love trump maga,"['got', 'ta', 'love', 'trump', 'maga']"
1278,idk whats gayer though ice cream or golf,"['idk', 'whats', 'gayer', 'though', 'ice', 'cream', 'golf']"
1279,No Comment,"['No', 'Comment']"
1280,get it straight jack,"['get', 'straight', 'jack']"
1281,trump president ,"['trump', 'president']"
1282,yeah i see you got experience with slavery when the spanish and portuguese brought you to america from africa,"['yeah', 'see', 'got', 'experience', 'slavery', 'spanish', 'portuguese', 'brought', 'america', 'africa']"
1283,zmbie yeah he must be talking about him the spanish and portuguese we brought the blacks from africa to be slaves here in america,"['zmbie', 'yeah', 'must', 'talking', 'spanish', 'portuguese', 'brought', 'blacks', 'africa', 'slaves', 'america']"
1284,tcmurgo shut up snowflake go troll in the decrepit senile sleepy joe biden page,"['tcmurgo', 'shut', 'snowflake', 'go', 'troll', 'decrepit', 'senile', 'sleepy', 'joe', 'biden', 'page']"
1285,kaceywithcurves gorgeous ,"['kaceywithcurves', 'gorgeous']"
1286,daaauh,['daaauh']
1287,lets remember the dems had full control of all  chambers the first two years  then the house passed hr   so stop saying  he blocked the bill   and remember the  eos reversed within the first  days  lets understand facts before u say anything ,"['lets', 'remember', 'dems', 'full', 'control', 'chambers', 'first', 'two', 'years', 'house', 'passed', 'hr', 'stop', 'saying', 'blocked', 'bill', 'remember', 'eos', 'reversed', 'within', 'first', 'days', 'lets', 'understand', 'facts', 'u', 'say', 'anything']"
1288,penny shot me ova ye ice cream joka mask off uftureion sef,"['penny', 'shot', 'ova', 'ye', 'ice', 'cream', 'joka', 'mask', 'uftureion', 'sef']"
1289,No Comment,"['No', 'Comment']"
1290,who is voting for trump,"['voting', 'trump']"
1291,No Comment,"['No', 'Comment']"
1292,kevinrp,['kevinrp']
1293,hahahahajajjajajajajajajaa,['hahahahajajjajajajajajajaa']
1294,disgusting excuse for a president administrator biden is sick his presidency needs to end,"['disgusting', 'excuse', 'president', 'administrator', 'biden', 'sick', 'presidency', 'needs', 'end']"
1295,tcmurgo than what happens with his wife his wife is an immigrant,"['tcmurgo', 'happens', 'wife', 'wife', 'immigrant']"
1296,"tcmurgo also if you want an all white country than you are against what the confederacy fought for
why do you think it is we in the south love and wave our confederate flag","['tcmurgo', 'also', 'want', 'white', 'country', 'confederacy', 'fought', 'think', 'south', 'love', 'wave', 'confederate', 'flag']"
1297,hillbilly youre right i want slaves,"['hillbilly', 'youre', 'right', 'want', 'slaves']"
1298,"tcmurgo you should do some research on the confederacy my friend
slavery was only legal under the confederate flag for  years slavery was legal under the american flag for almost  years also slaves were very expensive and only very wealthy people actually owned slaves","['tcmurgo', 'research', 'confederacy', 'friend', 'slavery', 'legal', 'confederate', 'flag', 'years', 'slavery', 'legal', 'american', 'flag', 'almost', 'years', 'also', 'slaves', 'expensive', 'wealthy', 'people', 'actually', 'owned', 'slaves']"
1299,hillbilly right we gotta bring that back,"['hillbilly', 'right', 'got', 'ta', 'bring', 'back']"
1300,"tcmurgo would you be able to afford slaves tho
as they were very expensive","['tcmurgo', 'would', 'able', 'afford', 'slaves', 'tho', 'expensive']"
1301,hillbilly not working for joe biden,"['hillbilly', 'working', 'joe', 'biden']"
1302,No Comment,"['No', 'Comment']"
1303,what a mess badenomics badbidenboarder ,"['mess', 'badenomics', 'badbidenboarder']"
1304,did we build the wall,"['build', 'wall']"
1305,No Comment,"['No', 'Comment']"
1306,No Comment,"['No', 'Comment']"
1307,No Comment,"['No', 'Comment']"
1308,hes so full of shit his eyes are brown,"['hes', 'full', 'shit', 'eyes', 'brown']"
1309,No Comment,"['No', 'Comment']"
1310,likes that big booty,"['likes', 'big', 'booty']"
1311,No Comment,"['No', 'Comment']"
1312,No Comment,"['No', 'Comment']"
1313,savagei love it,"['savage', 'love']"
1314,lies oh my i love this  triumphant trump ,"['lies', 'oh', 'love', 'triumphant', 'trump']"
1315,No Comment,"['No', 'Comment']"
1316,lol ,['lol']
1317,bullyqueen you know who else always fall asleep,"['bullyqueen', 'know', 'else', 'always', 'fall', 'asleep']"
1318,under oath,['oath']
1319,i can watch this  times and still laugh,"['watch', 'times', 'still', 'laugh']"
1320,youre a tool for big gov propaganda,"['youre', 'tool', 'big', 'gov', 'propaganda']"
1321,youre a tool for big gov propaganda,"['youre', 'tool', 'big', 'gov', 'propaganda']"
1322,ajjajajjajajjaa i cantttttt,"['ajjajajjajajjaa', 'cantttttt']"
1323,No Comment,"['No', 'Comment']"
1324,No Comment,"['No', 'Comment']"
1325,No Comment,"['No', 'Comment']"
1326,No Comment,"['No', 'Comment']"
1327,dont you have to get to your job at hot topic  the manager needs his shift relief,"['dont', 'get', 'job', 'hot', 'topic', 'manager', 'needs', 'shift', 'relief']"
1328,No Comment,"['No', 'Comment']"
1329,he did  had to think too long,"['think', 'long']"
1330,influencerqueeen wrong again do you lie on purpose or are you simply and utterly misinformed,"['influencerqueeen', 'wrong', 'lie', 'purpose', 'simply', 'utterly', 'misinformed']"
1331,yes i did and told her to get on her back and spread that crack lol idaho willis,"['yes', 'told', 'get', 'back', 'spread', 'crack', 'lol', 'idaho', 'willis']"
1332,if it werent so maddening it would be funny,"['werent', 'maddening', 'would', 'funny']"
1333,this is just so good,['good']
1334,omg,['omg']
1335,savage all day ,"['savage', 'day']"
1336,No Comment,"['No', 'Comment']"
1337,love you trump ,"['love', 'trump']"
1338,No Comment,"['No', 'Comment']"
1339,no comment,['comment']
1340,no no ,[]
1341,No Comment,"['No', 'Comment']"
1342,lmao,['lmao']
1343,No Comment,"['No', 'Comment']"
1344,No Comment,"['No', 'Comment']"
1345,No Comment,"['No', 'Comment']"
1346,No Comment,"['No', 'Comment']"
1347,No Comment,"['No', 'Comment']"
1348, trump ,['trump']
1349, don trizzy the goat,"['trizzy', 'goat']"
1350,bro had to dot his i s and cross his ts,"['bro', 'dot', 'cross', 'ts']"
1351,"esgee bot
because nobody could make less senseoh w","['esgee', 'bot', 'nobody', 'could', 'make', 'less', 'sense', 'oh', 'w']"
1352,tinyterrortoo  you said nothing suspenseful go read tiny lil nxgg,"['tinyterrortoo', 'said', 'nothing', 'suspenseful', 'go', 'read', 'tiny', 'lil', 'nxgg']"
1353,No Comment,"['No', 'Comment']"
1354,No Comment,"['No', 'Comment']"
1355,love it ,['love']
1356,magicmarlow same to biden that apologized to a illegal killer yes i said it illegal instead of the family of the murdered girl he couldnt even say the victims name right shit get outta here with your bs  anyone thats ok with whats going on under biden is a idiot yes i called u a idiot see how that works call shit like it is,"['magicmarlow', 'biden', 'apologized', 'illegal', 'killer', 'yes', 'said', 'illegal', 'instead', 'family', 'murdered', 'girl', 'couldnt', 'even', 'say', 'victims', 'name', 'right', 'shit', 'get', 'outta', 'bs', 'anyone', 'thats', 'ok', 'whats', 'going', 'biden', 'idiot', 'yes', 'called', 'u', 'idiot', 'see', 'works', 'call', 'shit', 'like']"
1357,who cares whom she slept withdrumpf is the one on trial,"['cares', 'slept', 'withdrumpf', 'one', 'trial']"
1358,lol lol lol good one,"['lol', 'lol', 'lol', 'good', 'one']"
1359,No Comment,"['No', 'Comment']"
1360, ,[]
1361,lovelace ,['lovelace']
1362,still funny,"['still', 'funny']"
1363,No Comment,"['No', 'Comment']"
1364,get this mf,"['get', 'mf']"
1365,lovelace amazing in to far,"['lovelace', 'amazing', 'far']"
1366,never ever ever,"['never', 'ever', 'ever']"
1367,how is it that you have  vision in reverse,"['vision', 'reverse']"
1368,lovelace who is speaking mrs biden it cant be anyone else,"['lovelace', 'speaking', 'mrs', 'biden', 'cant', 'anyone', 'else']"
1369,at least they dont sleep with their children,"['least', 'dont', 'sleep', 'children']"
1370,the mother fin g o a t  realdonaldtrump,"['mother', 'fin', 'g', 'realdonaldtrump']"
1371,motivdspeak lol says the bloviating blind man who refuses to see whats in office lol like i said your hatred for conservatives will keep you tied to that dem mental plantation just as anthony johnson feel better kept so many on his va one  our poc are being sold down the river by this clown but you and slow joe sniff on our govt officials on both sides are making a mockery of our constitution and rights and destroying our nation pray god helps you to wake up,"['motivdspeak', 'lol', 'says', 'bloviating', 'blind', 'man', 'refuses', 'see', 'whats', 'office', 'lol', 'like', 'said', 'hatred', 'conservatives', 'keep', 'tied', 'dem', 'mental', 'plantation', 'anthony', 'johnson', 'feel', 'better', 'kept', 'many', 'va', 'one', 'poc', 'sold', 'river', 'clown', 'slow', 'joe', 'sniff', 'govt', 'officials', 'sides', 'making', 'mockery', 'constitution', 'rights', 'destroying', 'nation', 'pray', 'god', 'helps', 'wake']"
1372, ,[]
1373,annadklin your funnyfirst you dont actually know your factsand because you can find a unicorn you wanna make black slave owners out like they were the normyou want to equate the wolves of the gop to the foxes of the democratic partybut again look who gets a seat at the tableyou realize you are the one on the plantation in the fields  right  duke we are  atleast in the house but you gonna end up just like candace owens out there with no place to be because they never really wanted you there in the first place,"['annadklin', 'funnyfirst', 'dont', 'actually', 'know', 'factsand', 'find', 'unicorn', 'wan', 'na', 'make', 'black', 'slave', 'owners', 'like', 'normyou', 'want', 'equate', 'wolves', 'gop', 'foxes', 'democratic', 'partybut', 'look', 'gets', 'seat', 'tableyou', 'realize', 'one', 'plantation', 'fields', 'right', 'duke', 'atleast', 'house', 'gon', 'na', 'end', 'like', 'candace', 'owens', 'place', 'never', 'really', 'wanted', 'first', 'place']"
1374,lovelace biden cant hold a candle,"['lovelace', 'biden', 'cant', 'hold', 'candle']"
1375,No Comment,"['No', 'Comment']"
1376,annadklin you the one they wantyou friends call you one of the good ones dont they  you gonna have a seat reat next to candace when they done with youonce you realize they never wanted you in the first place,"['annadklin', 'one', 'wantyou', 'friends', 'call', 'one', 'good', 'ones', 'dont', 'gon', 'na', 'seat', 'reat', 'next', 'candace', 'done', 'youonce', 'realize', 'never', 'wanted', 'first', 'place']"
1377,hahahahahaha,['hahahahahaha']
1378,No Comment,"['No', 'Comment']"
1379,im lost who is this dude,"['im', 'lost', 'dude']"
1380,im mfn dead  ,"['im', 'mfn', 'dead']"
1381,No Comment,"['No', 'Comment']"
1382,No Comment,"['No', 'Comment']"
1383,bigguccitmt ,['bigguccitmt']
1384,lovelace biden cant even spell candle ,"['lovelace', 'biden', 'cant', 'even', 'spell', 'candle']"
1385,No Comment,"['No', 'Comment']"
1386,No Comment,"['No', 'Comment']"
1387,No Comment,"['No', 'Comment']"
1388,betorondi omg what they got away with that is probably pretty accurate,"['betorondi', 'omg', 'got', 'away', 'probably', 'pretty', 'accurate']"
1389,his tweets were mean lol,"['tweets', 'mean', 'lol']"
1390,tasedandconfused ,['tasedandconfused']
1391,No Comment,"['No', 'Comment']"
1392,si seor presidente me rindo al sueo americano penny lane,"['si', 'seor', 'presidente', 'rindo', 'al', 'sueo', 'americano', 'penny', 'lane']"
1393,this is insane agahaha,"['insane', 'agahaha']"
1394,motivdspeak  you have me confused with yourself all the others who refuse to wake up and get off the dem plantation but im praying for you so many others and our republic ps grammerly can be a very useful friend god bless take care and be well ,"['motivdspeak', 'confused', 'others', 'refuse', 'wake', 'get', 'dem', 'plantation', 'im', 'praying', 'many', 'others', 'republic', 'ps', 'grammerly', 'useful', 'friend', 'god', 'bless', 'take', 'care', 'well']"
1395,No Comment,"['No', 'Comment']"
1396,amitissdds  hahahaha,"['amitissdds', 'hahahaha']"
1397,not me dying laughing at this the government is just become a horrendous joke and everyone in it,"['dying', 'laughing', 'government', 'become', 'horrendous', 'joke', 'everyone']"
1398,No Comment,"['No', 'Comment']"
1399,No Comment,"['No', 'Comment']"
1400,make america pray again,"['make', 'america', 'pray']"
1401,No Comment,"['No', 'Comment']"
1402,trump,['trump']
1403,they ie meaning ig wouldnt even let me comment and i wasnt even using cuss words at all,"['ie', 'meaning', 'ig', 'wouldnt', 'even', 'let', 'comment', 'wasnt', 'even', 'using', 'cuss', 'words']"
1404,trump is innocent theyre framing my president  mr  donald j trump,"['trump', 'innocent', 'theyre', 'framing', 'president', 'mr', 'donald', 'j', 'trump']"
1405,"hotreal president donald trump why dont they ask these women why they are attracted to rich men and why soon after they ask for a divorce
why dont they ask this porn actress if she got money to ruin your image 
why dont they say that there are many hidden traps you have tried many times in the past to become a president and the truth is that you are a charismatic politician and most importantly fake men look for our weaknesses only great presidents get this treatment make president trump great again hot","['hotreal', 'president', 'donald', 'trump', 'dont', 'ask', 'women', 'attracted', 'rich', 'men', 'soon', 'ask', 'divorce', 'dont', 'ask', 'porn', 'actress', 'got', 'money', 'ruin', 'image', 'dont', 'say', 'many', 'hidden', 'traps', 'tried', 'many', 'times', 'past', 'become', 'president', 'truth', 'charismatic', 'politician', 'importantly', 'fake', 'men', 'look', 'weaknesses', 'great', 'presidents', 'get', 'treatment', 'make', 'president', 'trump', 'great', 'hot']"
1406,vote president trump ,"['vote', 'president', 'trump']"
1407,no two state solution you will lose to god every time and lose your standing in the usa,"['two', 'state', 'solution', 'lose', 'god', 'every', 'time', 'lose', 'standing', 'usa']"
1408,No Comment,"['No', 'Comment']"
1409,what a good president for the usa,"['good', 'president', 'usa']"
1410,the true president,"['true', 'president']"
1411,i want america to breed stronger americans,"['want', 'america', 'breed', 'stronger', 'americans']"
1412,this is looking like a hollywood movie get your faculties together ,"['looking', 'like', 'hollywood', 'movie', 'get', 'faculties', 'together']"
1413,we love you trump keep up the fight,"['love', 'trump', 'keep', 'fight']"
1414,trump,['trump']
1415,"i cant say it enough this man is the symbol of the american spirit
thank you sir","['cant', 'say', 'enough', 'man', 'symbol', 'american', 'spirit', 'thank', 'sir']"
1416,no comment,['comment']
1417,p,['p']
1418,irishkcon theyre attacking our leader  please stop them  he will rightfully win or maybe not rightfully but someone hell fix it and win because hes better and we will be he best country again  we dont care that hes guilty  we know that  were not stupid but the dems are  stinkin liberals  hewillwinandrunthecountrybehindbarsbetterthanbiden,"['irishkcon', 'theyre', 'attacking', 'leader', 'please', 'stop', 'rightfully', 'win', 'maybe', 'rightfully', 'someone', 'hell', 'fix', 'win', 'hes', 'better', 'best', 'country', 'dont', 'care', 'hes', 'guilty', 'know', 'stupid', 'dems', 'stinkin', 'liberals', 'hewillwinandrunthecountrybehindbarsbetterthanbiden']"
1419,No Comment,"['No', 'Comment']"
1420,total tw a t,"['total', 'tw']"
1421,we will vote trump again and always he is the best man for the job,"['vote', 'trump', 'always', 'best', 'man', 'job']"
1422,victory,['victory']
1423,want to explore with you ,"['want', 'explore']"
1424,i love you my president cant wait for you to set the world in a balance motion ,"['love', 'president', 'cant', 'wait', 'set', 'world', 'balance', 'motion']"
1425,magaisacancer you are not well informed clinton was never impeached he finished his  terms and the george bush won the presidency to your information,"['magaisacancer', 'well', 'informed', 'clinton', 'never', 'impeached', 'finished', 'terms', 'george', 'bush', 'presidency', 'information']"
1426,no maas,['maas']
1427,srahuevo bill clinton was most certainly impeached you can be impeached but not removed look at trump   impeachments but the spineless republicans wouldnt remove him youre daft,"['srahuevo', 'bill', 'clinton', 'certainly', 'impeached', 'impeached', 'removed', 'look', 'trump', 'impeachments', 'spineless', 'republicans', 'wouldnt', 'remove', 'youre', 'daft']"
1428,magaisacancer no hes yours not anybody elses on this page  so please swamp thing hit the unfollow button thank you  trump is the only president of this country,"['magaisacancer', 'hes', 'anybody', 'elses', 'page', 'please', 'swamp', 'thing', 'hit', 'unfollow', 'button', 'thank', 'trump', 'president', 'country']"
1429,caloutasgoclo absolutely  and hes not a mute  like the clown  in office,"['caloutasgoclo', 'absolutely', 'hes', 'mute', 'like', 'clown', 'office']"
1430,gracieandmaxdoggies you literally just made them all up  do you really think that if they could get trump being a pedophile like kid hair sniffing joe that they would be creating fake trials  also clintons are the ones with the fake charity  irs has an office at trumps building  have not seen any tax evasion charges  never charged with sex assault  not paying bills is made up  but keep the hate,"['gracieandmaxdoggies', 'literally', 'made', 'really', 'think', 'could', 'get', 'trump', 'pedophile', 'like', 'kid', 'hair', 'sniffing', 'joe', 'would', 'creating', 'fake', 'trials', 'also', 'clintons', 'ones', 'fake', 'charity', 'irs', 'office', 'trumps', 'building', 'seen', 'tax', 'evasion', 'charges', 'never', 'charged', 'sex', 'assault', 'paying', 'bills', 'made', 'keep', 'hate']"
1431, ace trump lost  because he was a shitty president he will never be president again cry harder  who wont be  mentioned,"['ace', 'trump', 'lost', 'shitty', 'president', 'never', 'president', 'cry', 'harder', 'wont', 'mentioned']"
1432,spoken like an immature democrap,"['spoken', 'like', 'immature', 'democrap']"
1433,magaisacancer joe is not my president  he doesnt even know he is president  moron in chief more like it,"['magaisacancer', 'joe', 'president', 'doesnt', 'even', 'know', 'president', 'moron', 'chief', 'like']"
1434,campbrokenarrow why didnt biden serve,"['campbrokenarrow', 'didnt', 'biden', 'serve']"
1435,johnrogge he went to collegenot dress up soldier school,"['johnrogge', 'went', 'collegenot', 'dress', 'soldier', 'school']"
1436,johnrogge who should i act more like trump who picks on people who stutter called a woman a horse face told ted cruz his wife is ugly called robert de niro punchy called biden sleepy joe  the man is the most petulant child who insults everyone while you all sit there and laugh but you have a problem when the public gives his own  back to him you have no moral high ground to claim so su people who cant control his bowels from years of drug abuse shouldnt talk about anyone  a man who snores and farts in court after calling biden sleepy is getting what he deserves,"['johnrogge', 'act', 'like', 'trump', 'picks', 'people', 'stutter', 'called', 'woman', 'horse', 'face', 'told', 'ted', 'cruz', 'wife', 'ugly', 'called', 'robert', 'de', 'niro', 'punchy', 'called', 'biden', 'sleepy', 'joe', 'man', 'petulant', 'child', 'insults', 'everyone', 'sit', 'laugh', 'problem', 'public', 'gives', 'back', 'moral', 'high', 'ground', 'claim', 'su', 'people', 'cant', 'control', 'bowels', 'years', 'drug', 'abuse', 'shouldnt', 'talk', 'anyone', 'man', 'snores', 'farts', 'court', 'calling', 'biden', 'sleepy', 'getting', 'deserves']"
1437,okay,['okay']
1438,the best,['best']
1439,soon president usa ,"['soon', 'president', 'usa']"
1440,billc bozo,"['billc', 'bozo']"
1441,president,['president']
1442,No Comment,"['No', 'Comment']"
1443,here in italy we have a good health service to accommodate biden,"['italy', 'good', 'health', 'service', 'accommodate', 'biden']"
1444,is this before or after you nap timesleepy trump,"['nap', 'time', 'sleepy', 'trump']"
1445,No Comment,"['No', 'Comment']"
1446,No Comment,"['No', 'Comment']"
1447,No Comment,"['No', 'Comment']"
1448,No Comment,"['No', 'Comment']"
1449,anonymouswaytoolong how many fathers do you have  your mom has illicit relations with strange men,"['anonymouswaytoolong', 'many', 'fathers', 'mom', 'illicit', 'relations', 'strange', 'men']"
1450,maga,['maga']
1451,soon to be convicted felon,"['soon', 'convicted', 'felon']"
1452,if payment to a prostitute is a crime we better start arresting all the leaders who go go to the conferences g etc especially  davos and cannes  start with our mps and royalty,"['payment', 'prostitute', 'crime', 'better', 'start', 'arresting', 'leaders', 'go', 'go', 'conferences', 'g', 'etc', 'especially', 'davos', 'cannes', 'start', 'mps', 'royalty']"
1453,No Comment,"['No', 'Comment']"
1454,campbrokenarrow this wasnt a biden family post you seem confused,"['campbrokenarrow', 'wasnt', 'biden', 'family', 'post', 'seem', 'confused']"
1455,amandawischmann triggered much cheeto sucker,"['amandawischmann', 'triggered', 'much', 'cheeto', 'sucker']"
1456,when you get world leaders to show up to a city for your when youre facing illegal trials thats how you know the world knows you are the president and this is a fuckin hoax,"['get', 'world', 'leaders', 'show', 'city', 'youre', 'facing', 'illegal', 'trials', 'thats', 'know', 'world', 'knows', 'president', 'fuckin', 'hoax']"
1457,caloutasgoclo he thinks he is  hes a joke,"['caloutasgoclo', 'thinks', 'hes', 'joke']"
1458,he talks like a freaking nutcase they do they love you they really really do its like rhymes and riddles from a nursery rhyme book he talks like a sixth grade fool rjr,"['talks', 'like', 'freaking', 'nutcase', 'love', 'really', 'really', 'like', 'rhymes', 'riddles', 'nursery', 'rhyme', 'book', 'talks', 'like', 'sixth', 'grade', 'fool', 'rjr']"
1459,httpswwwyoutubecomsilversneakersplaylists,['httpswwwyoutubecomsilversneakersplaylists']
1460,trump is king,"['trump', 'king']"
1461,trump ,['trump']
1462,No Comment,"['No', 'Comment']"
1463,monicablackard,['monicablackard']
1464,No Comment,"['No', 'Comment']"
1465,my president always,"['president', 'always']"
1466,trump the goat love from england,"['trump', 'goat', 'love', 'england']"
1467,billc l mentality,"['billc', 'l', 'mentality']"
1468,con man rapcist treasonous ,"['con', 'man', 'rapcist', 'treasonous']"
1469,No Comment,"['No', 'Comment']"
1470,i beg you mister trump fiks the world its not  lets make america great again its save us,"['beg', 'mister', 'trump', 'fiks', 'world', 'lets', 'make', 'america', 'great', 'save', 'us']"
1471,No Comment,"['No', 'Comment']"
1472,trump belongs in prison,"['trump', 'belongs', 'prison']"
1473,trump  ,['trump']
1474,daniellekpo,['daniellekpo']
1475,all the best president trump from canada you are a true leader,"['best', 'president', 'trump', 'canada', 'true', 'leader']"
1476,love this man,"['love', 'man']"
1477,you can do all things ,['things']
1478,lets go donald ,"['lets', 'go', 'donald']"
1479,officialjordandulaney amen wwgwga ncswic,"['officialjordandulaney', 'amen', 'wwgwga', 'ncswic']"
1480,No Comment,"['No', 'Comment']"
1481,No Comment,"['No', 'Comment']"
1482,treviankutti how can no one see biden has alzheimer disease,"['treviankutti', 'one', 'see', 'biden', 'alzheimer', 'disease']"
1483,please come to canada and kick some foreign ass,"['please', 'come', 'canada', 'kick', 'foreign', 'ass']"
1484,No Comment,"['No', 'Comment']"
1485,No Comment,"['No', 'Comment']"
1486,robimorr polska jako kraj jest pikny ale nasi przywdcy to poraka,"['robimorr', 'polska', 'jako', 'kraj', 'jest', 'pikny', 'ale', 'nasi', 'przywdcy', 'poraka']"
1487,gomag masz racj ukraiskie dzieci atakuj nasze polskie do tego polacy nie maj takiej pomocy w swoim kraju jak ukraicy s pierwsi w kolejce do suby zdrowia pomocy materialnej i mieszkaniowej  nie wiem kto tak zarzdzi ale polska to kraj polakw a nie ukraicw,"['gomag', 'masz', 'racj', 'ukraiskie', 'dzieci', 'atakuj', 'nasze', 'polskie', 'tego', 'polacy', 'nie', 'maj', 'takiej', 'pomocy', 'w', 'swoim', 'kraju', 'jak', 'ukraicy', 'pierwsi', 'w', 'kolejce', 'suby', 'zdrowia', 'pomocy', 'materialnej', 'mieszkaniowej', 'nie', 'wiem', 'kto', 'tak', 'zarzdzi', 'ale', 'polska', 'kraj', 'polakw', 'nie', 'ukraicw']"
1488,trump means king of truth and pragmatisme,"['trump', 'means', 'king', 'truth', 'pragmatisme']"
1489,wote fore trump i cant because i live in sweden,"['wote', 'fore', 'trump', 'cant', 'live', 'sweden']"
1490,No Comment,"['No', 'Comment']"
1491,we are voting for you shame on pedophile biden judge merchan and all of the democrats that are charging president trump with crimes that he never did this judge hates pres trump now a lawyer that is connected to biden is the prosecutor this is a sham america and americans were better off when trump was president biden is a horrific lieing plagiarizing old and weak man,"['voting', 'shame', 'pedophile', 'biden', 'judge', 'merchan', 'democrats', 'charging', 'president', 'trump', 'crimes', 'never', 'judge', 'hates', 'pres', 'trump', 'lawyer', 'connected', 'biden', 'prosecutor', 'sham', 'america', 'americans', 'better', 'trump', 'president', 'biden', 'horrific', 'lieing', 'plagiarizing', 'old', 'weak', 'man']"
